tourney_id,match_num,match_played,correct_pick,countable_pick
2018-0301,271,1,1,1
2018-0301,272,1,1,1
2018-0301,273,1,0,1
2018-0301,275,1,1,1
2018-0301,276,1,1,1
2018-0301,277,1,1,1
2018-0301,278,1,1,1
2018-0301,279,1,1,1
2018-0301,280,1,1,1
2018-0301,282,1,0,1
2018-0301,283,1,1,1
2018-0301,284,1,1,1
2018-0301,286,1,1,1
2018-0301,287,1,1,0
2018-0301,288,1,0,1
2018-0301,289,1,1,1
2018-0301,290,1,1,1
2018-0301,291,1,0,1
2018-0301,292,1,1,0
2018-0301,293,1,0,1
2018-0301,294,1,1,1
2018-0301,295,1,0,0
2018-0301,296,1,0,0
2018-0301,297,1,0,0
2018-0301,298,1,1,0
2018-0301,299,1,0,0
2018-0301,300,1,0,0
2018-0308,271,1,0,1
2018-0308,272,1,1,1
2018-0308,273,1,1,1
2018-0308,275,1,1,1
2018-0308,276,1,0,1
2018-0308,277,1,0,1
2018-0308,278,1,0,1
2018-0308,279,1,1,1
2018-0308,280,1,0,1
2018-0308,282,1,1,1
2018-0308,283,1,1,1
2018-0308,284,1,1,1
2018-0308,286,1,1,0
2018-0308,287,1,1,1
2018-0308,288,1,0,1
2018-0308,289,1,0,0
2018-0308,290,1,0,0
2018-0308,291,1,1,0
2018-0308,292,1,1,1
2018-0308,293,1,1,1
2018-0308,294,1,0,1
2018-0308,295,1,0,0
2018-0308,296,1,1,0
2018-0308,297,1,1,1
2018-0308,298,1,0,0
2018-0308,299,1,1,1
2018-0308,300,1,1,0
2018-0311,270,1,1,1
2018-0311,271,1,1,1
2018-0311,272,1,0,1
2018-0311,273,1,0,1
2018-0311,274,1,0,1
2018-0311,275,1,1,1
2018-0311,276,1,1,1
2018-0311,277,1,1,1
2018-0311,278,1,1,1
2018-0311,279,1,1,1
2018-0311,280,1,1,1
2018-0311,281,1,1,1
2018-0311,282,1,1,1
2018-0311,283,1,1,1
2018-0311,284,1,0,1
2018-0311,285,1,1,1
2018-0311,286,1,1,1
2018-0311,287,1,0,0
2018-0311,288,1,0,0
2018-0311,289,1,0,1
2018-0311,290,1,1,1
2018-0311,291,1,0,1
2018-0311,292,1,1,1
2018-0311,293,1,1,0
2018-0311,294,1,1,0
2018-0311,295,1,0,0
2018-0311,296,1,0,0
2018-0311,297,1,1,1
2018-0311,298,1,1,0
2018-0311,299,1,1,0
2018-0311,300,1,1,1
2018-0314,271,1,1,1
2018-0314,272,1,1,1
2018-0314,273,1,0,1
2018-0314,275,1,1,1
2018-0314,276,1,1,1
2018-0314,277,1,0,1
2018-0314,278,1,0,1
2018-0314,279,1,1,1
2018-0314,280,1,1,1
2018-0314,282,1,0,1
2018-0314,283,1,0,1
2018-0314,284,1,0,1
2018-0314,286,1,1,1
2018-0314,287,1,0,0
2018-0314,288,1,0,1
2018-0314,289,1,0,0
2018-0314,290,1,0,0
2018-0314,291,1,0,1
2018-0314,292,1,0,0
2018-0314,293,1,0,0
2018-0314,294,1,1,0
2018-0314,295,1,0,0
2018-0314,296,1,0,0
2018-0314,297,1,0,0
2018-0314,298,1,1,0
2018-0314,299,1,0,0
2018-0314,300,1,0,0
2018-0315,271,1,1,1
2018-0315,272,1,0,1
2018-0315,273,1,1,1
2018-0315,275,1,1,1
2018-0315,276,1,0,1
2018-0315,277,1,0,1
2018-0315,278,1,1,1
2018-0315,279,1,0,1
2018-0315,280,1,0,1
2018-0315,282,1,1,1
2018-0315,283,1,1,1
2018-0315,284,1,1,1
2018-0315,286,1,0,1
2018-0315,287,1,0,0
2018-0315,288,1,0,1
2018-0315,289,1,0,0
2018-0315,290,1,0,0
2018-0315,291,1,1,0
2018-0315,292,1,0,1
2018-0315,293,1,1,1
2018-0315,294,1,0,0
2018-0315,295,1,0,0
2018-0315,296,1,1,0
2018-0315,297,1,0,0
2018-0315,298,1,0,0
2018-0315,299,1,1,0
2018-0315,300,1,1,0
2018-0316,271,1,0,1
